run_id,epoch,trial_index_in_epoch,timestamp_iso,benchmark,runtime,input_size,input_path,wall_clock_s,exit_code,energy_pkg_uj_total,energy_core_uj_total,avg_power_pkg_w,avg_power_core_w,user_cpu_s,sys_cpu_s,max_rss_kb,num_rapl_samples,governor,cpu_freq_pre_mhz,cpu_freq_post_mhz,cpu_temp_pre_c,cpu_temp_post_c,notes
e03-t014-spell-pash_cold-10M-beb8d0,3,14,2026-05-03T22:54:22-0400,spell,pash_cold,10M,/home/aaronzp/dev/pash-exp/scripts/inputs/10M.txt,2.116277,0,67549516,1726061,32.1644,0.8219,3.94,1.63,24024,22,schedutil,1550.0,1550.0,,,
idle-intertrial-03-015-16659c,3,15,2026-05-03T22:54:27-0400,idle_intertrial,idle,,,5.000362,0,48575185,55737,9.9123,0.0114,0,0,0,50,schedutil,,,,,idle baseline
e03-t015-wf-bash-10M-38a0d8,3,15,2026-05-03T22:54:30-0400,wf,bash,10M,/home/aaronzp/dev/pash-exp/scripts/inputs/10M.txt,2.961915,0,85366329,354947,29.4354,0.1224,3.17,0.12,10504,30,schedutil,1550.0,1550.0,,,
idle-intertrial-03-016-73e5ff,3,16,2026-05-03T22:54:35-0400,idle_intertrial,idle,,,5.000554,0,48509607,74642,9.7009,0.0149,0,0,0,51,schedutil,,,,,idle baseline
e03-t016-sort-sort-pash_cold-10M-a3fb83,3,16,2026-05-03T22:54:36-0400,sort-sort,pash_cold,10M,/home/aaronzp/dev/pash-exp/scripts/inputs/10M.txt,1.368705,0,37054160,2904025,28.5012,2.2337,1.58,0.63,23500,14,schedutil,1469.5,1629.8,,,
idle-intertrial-03-017-afd507,3,17,2026-05-03T22:54:41-0400,idle_intertrial,idle,,,5.000232,0,49004942,133325,9.8007,0.0267,0,0,0,51,schedutil,,,,,idle baseline
e03-t017-spell-bash-1M-7f5101,3,17,2026-05-03T22:54:42-0400,spell,bash,1M,/home/aaronzp/dev/pash-exp/scripts/inputs/1M.txt,0.568224,0,13869263,261385,27.7245,0.5225,0.6,0.1,10552,6,schedutil,1376.0,1375.0,,,
idle-intertrial-03-018-30276c,3,18,2026-05-03T22:54:47-0400,idle_intertrial,idle,,,5.000558,0,50088764,139245,10.0167,0.0278,0,0,0,51,schedutil,,,,,idle baseline
e03-t018-spell-pash_cold-100M-bca3d5,3,18,2026-05-03T22:54:59-0400,spell,pash_cold,100M,/home/aaronzp/dev/pash-exp/scripts/inputs/100M.txt,12.055698,0,458821594,33369536,38.2347,2.7808,33.71,14.18,55104,121,schedutil,1546.9,1632.7,,,
idle-intertrial-03-019-887bf0,3,19,2026-05-03T22:55:04-0400,idle_intertrial,idle,,,5.000272,0,47761919,64420,9.5521,0.0129,0,0,0,51,schedutil,,,,,idle baseline
e03-t019-sort-sort-bash-10M-b4f9c9,3,19,2026-05-03T22:55:05-0400,sort-sort,bash,10M,/home/aaronzp/dev/pash-exp/scripts/inputs/10M.txt,0.890977,0,18434670,180396,23.0356,0.2254,0.8,0.12,14596,9,schedutil,1550.0,1550.0,,,
idle-intertrial-03-020-dc5fda,3,20,2026-05-03T22:55:10-0400,idle_intertrial,idle,,,5.000198,0,46393307,46674,9.2784,0.0093,0,0,0,51,schedutil,,,,,idle baseline
e03-t020-spell-pash_cold-1M-1dfd5c,3,20,2026-05-03T22:55:11-0400,spell,pash_cold,1M,/home/aaronzp/dev/pash-exp/scripts/inputs/1M.txt,1.271818,0,30795283,1038643,25.6605,0.8655,1.22,0.47,24096,13,schedutil,1550.0,1550.0,,,
idle-intertrial-03-021-48e411,3,21,2026-05-03T22:55:16-0400,idle_intertrial,idle,,,5.000384,0,50032736,83873,10.2097,0.0171,0,0,0,50,schedutil,,,,,idle baseline
e03-t021-nfa-regex-pash_cold-100M-e1f905,3,21,2026-05-03T22:57:10-0400,nfa-regex,pash_cold,100M,/home/aaronzp/dev/pash-exp/scripts/inputs/100M.txt,114.141479,0,3951754926,520834088,34.6341,4.5647,225.47,3.44,54872,1142,schedutil,1550.0,1550.0,,,
idle-intertrial-03-022-033f4e,3,22,2026-05-03T22:57:15-0400,idle_intertrial,idle,,,5.000181,0,47959067,119104,9.5915,0.0238,0,0,0,51,schedutil,,,,,idle baseline
e03-t022-wf-bash-100M-319c39,3,22,2026-05-03T22:57:46-0400,wf,bash,100M,/home/aaronzp/dev/pash-exp/scripts/inputs/100M.txt,30.524461,0,850702145,21952493,27.8918,0.7198,33.01,1.05,10480,306,schedutil,1550.0,4090.2,,,
